Transcript,Summary,Sentiment
,"Error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",Error
,"Error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",Error
"`Customer: Hi, I was trying to book a slot yesterday but the payment failed multiple times. I'm really frustrated because I need this appointment urgently.
Agent: I apologize for the inconvenience. Let me check what might have caused the payment failure.
Customer: This is the third time this has happened. Your system seems to have serious issues.
Agent: I understand your frustration. I'll escalate this to our technical team and ensure you get your slot booked today.
Customer: Okay, but I really need this fixed. I can't keep wasting time on this.
Agent: Absolutely, I'll personally follow up with you within 2 hours with a solution.
Customer: I appreciate that, but this better be the last time I have to deal with this.`;

        function loadSampleTranscript() {","Error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",Error
"Customer: Hi, I was trying to book a slot yesterday but the payment failed multiple times. I'm really frustrated because I need this appointment urgently.
Agent: I apologize for the inconvenience. Let me check what might have caused the payment failure.
Customer: This is the third time this has happened. Your system seems to have serious issues.
Agent: I understand your frustration. I'll escalate this to our technical team and ensure you get your slot booked today.
Customer: Okay, but I really need this fixed. I can't keep wasting time on this.
Agent: Absolutely, I'll personally follow up with you within 2 hours with a solution.
Customer: I appreciate that, but this better be the last time I have to deal with this","Error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",Error
"Customer: Hi, I was trying to book a slot yesterday but the payment failed multiple times. I'm really frustrated because I need this appointment urgently.
Agent: I apologize for the inconvenience. Let me check what might have caused the payment failure.
Customer: This is the third time this has happened. Your system seems to have serious issues.
Agent: I understand your frustration. I'll escalate this to our technical team and ensure you get your slot booked today.
Customer: Okay, but I really need this fixed. I can't keep wasting time on this.
Agent: Absolutely, I'll personally follow up with you within 2 hours with a solution.
Customer: I appreciate that, but this better be the last time I have to deal with this","Error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",Error
"Customer: Hi, I was trying to book a slot yesterday but the payment failed multiple times. I'm really frustrated because I need this appointment urgently.
Agent: I apologize for the inconvenience. Let me check what might have caused the payment failure.
Customer: This is the third time this has happened. Your system seems to have serious issues.
Agent: I understand your frustration. I'll escalate this to our technical team and ensure you get your slot booked today.
Customer: Okay, but I really need this fixed. I can't keep wasting time on this.
Agent: Absolutely, I'll personally follow up with you within 2 hours with a solution.
Customer: I appreciate that, but this better be the last time I have to deal with this","Error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",Error
,"Error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",Error
"hi
","Error: Error code: 400 - {'error': {'message': 'The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",Error
2025-09-16 22:36:03,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","There is no customer call transcript provided. However, based on the given information, here's a possible summary:

A customer called to report an issue with their internet connection, which has been down since morning. The customer service agent offered to check the status of the issue.",Negative
2025-09-16 22:38:39,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","There is no transcript provided. However, based on the given information, here's a possible summary:

A customer called to report an issue with their internet connection, which has been down since morning. The customer service agent acknowledged the issue and offered to check the status.",Negative
2025-09-16 22:40:03,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","There is no transcript provided. However, based on the information given, here's a possible summary:

A customer called to report an issue with their internet connection, which had been down since morning. The customer service agent acknowledged the problem and offered to check the status.",Negative
2025-09-16 22:46:21,"Agent: Hello, how can I help you today?
Customer: I have a problem with my internet connection. It's been down since morning.
Agent: I understand. Let me check the status for you.",Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions,Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
2025-09-16 22:48:08,"Agent: Hello, how can I help you today?
Customer: I have a problem with my internet connection. It's been down since morning.
Agent: I understand. Let me check the status for you.",Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions,Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
2025-09-16 22:49:59,"Agent: Hello, how can I help you today?
Customer: I have a problem with my internet connection. It's been down since morning.
Agent: I understand. Let me check the status for you.",Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions,Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
2025-09-16 22:52:52,"Agent: Hello, how can I help you today?
Customer: I have a problem with my internet connection. It's been down since morning.
Agent: I understand. Let me check the status for you.",Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions,Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
2025-09-16 22:52:57,"Agent: Hello, how can I help you today?
Customer: I have a problem with my internet connection. It's been down since morning.
Agent: I understand. Let me check the status for you.",Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions,Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
2025-09-16 22:52:58,"Agent: Hello, how can I help you today?
Customer: I have a problem with my internet connection. It's been down since morning.
Agent: I understand. Let me check the status for you.",Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions,Error: 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
2025-09-16 22:59:01,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status of the connection. The conversation is ongoing, with the agent attempting to troubleshoot or resolve the customer's issue.",Negative
2025-09-16 22:59:38,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 22:59:39,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 22:59:49,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 22:59:50,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 22:59:51,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 22:59:52,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 23:27:20,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status of the connection. The conversation is ongoing, with the agent attempting to troubleshoot or resolve the customer's issue.",Negative
2025-09-16 23:27:20,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 23:27:21,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 23:27:21,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to resolve the customer's internet connectivity issue.",Negative
2025-09-16 23:27:21,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status of the connection. The conversation is ongoing, with the agent attempting to troubleshoot or resolve the customer's issue.",Negative
2025-09-16 23:29:33,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 23:29:56,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 23:29:57,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
2025-09-16 23:31:31,"Agent: Hello, how can I help you today? Customer: I have a problem with my internet connection. It's been down since morning. Agent: I understand. Let me check the status for you.","The customer contacted the agent to report an issue with their internet connection, which has been down since morning. The agent acknowledged the problem and offered to investigate further by checking the status. The conversation is ongoing, with the agent working to troubleshoot and resolve the customer's internet connection issue.",Negative
